model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper
ihme,2020-03-31,Alabama,USA_523,2020-03-31,23,23,23
ihme,2020-03-31,Alabama,USA_523,2020-04-01,35.217,32,38
ihme,2020-03-31,Alabama,USA_523,2020-04-02,52.84,45,61
ihme,2020-03-31,Alabama,USA_523,2020-04-03,77.687,63,94
ihme,2020-03-31,Alabama,USA_523,2020-04-04,111.803,86.975,141
ihme,2020-03-31,Alabama,USA_523,2020-04-05,157.6,117.975,206
ihme,2020-03-31,Alabama,USA_523,2020-04-06,217.557,157.975,291.025
ihme,2020-03-31,Alabama,USA_523,2020-04-07,294.177,208.95,400.075
ihme,2020-03-31,Alabama,USA_523,2020-04-08,389.789,270.975,543.025
ihme,2020-03-31,Alabama,USA_523,2020-04-09,506.392,345,717
ihme,2020-03-31,Alabama,USA_523,2020-04-10,645.47,434,932.05
ihme,2020-03-31,Alabama,USA_523,2020-04-11,807.872,531.975,1191.025
ihme,2020-03-31,Alabama,USA_523,2020-04-12,993.871,627.875,1496.05
ihme,2020-03-31,Alabama,USA_523,2020-04-13,1203.115,725,1855.05
ihme,2020-03-31,Alabama,USA_523,2020-04-14,1434.73,814.925,2286
ihme,2020-03-31,Alabama,USA_523,2020-04-15,1689.237,891.95,2779.075
ihme,2020-03-31,Alabama,USA_523,2020-04-16,1965.043,947.825,3343.25
ihme,2020-03-31,Alabama,USA_523,2020-04-17,2259.985,991.925,3976.15
ihme,2020-03-31,Alabama,USA_523,2020-04-18,2571.363,1033.9,4661.4
ihme,2020-03-31,Alabama,USA_523,2020-04-19,2895.926,1056.85,5428.15
ihme,2020-03-31,Alabama,USA_523,2020-04-20,3230.067,1076,6229.25
ihme,2020-03-31,Alabama,USA_523,2020-04-21,3569.764,1094.75,7055.65
ihme,2020-03-31,Alabama,USA_523,2020-04-22,3910.799,1107.6,7904.6
ihme,2020-03-31,Alabama,USA_523,2020-04-23,4248.85,1116.55,8763.55
ihme,2020-03-31,Alabama,USA_523,2020-04-24,4579.629,1122.525,9618.5
ihme,2020-03-31,Alabama,USA_523,2020-04-25,4899.044,1126.5,10456.475
ihme,2020-03-31,Alabama,USA_523,2020-04-26,5203.388,1128.5,11264.45
ihme,2020-03-31,Alabama,USA_523,2020-04-27,5489.419,1129.5,12030.475
ihme,2020-03-31,Alabama,USA_523,2020-04-28,5754.548,1130.5,12746.5
ihme,2020-03-31,Alabama,USA_523,2020-04-29,5996.844,1130.5,13404.55
ihme,2020-03-31,Alabama,USA_523,2020-04-30,6215.116,1130.5,13999.625
ihme,2020-03-31,Alabama,USA_523,2020-05-01,6408.904,1130.5,14529.7
ihme,2020-03-31,Alabama,USA_523,2020-05-02,6578.439,1130.5,14993.8
ihme,2020-03-31,Alabama,USA_523,2020-05-03,6724.602,1130.5,15393.925
ihme,2020-03-31,Alabama,USA_523,2020-05-04,6848.721,1130.5,15733.05
ihme,2020-03-31,Alabama,USA_523,2020-05-05,6952.529,1130.5,16016.175
ihme,2020-03-31,Alabama,USA_523,2020-05-06,7038.075,1130.5,16249.3
ihme,2020-03-31,Alabama,USA_523,2020-05-07,7107.508,1130.5,16437.425
ihme,2020-03-31,Alabama,USA_523,2020-05-08,7162.988,1130.5,16587.525
ihme,2020-03-31,Alabama,USA_523,2020-05-09,7206.654,1130.5,16704.625
ihme,2020-03-31,Alabama,USA_523,2020-05-10,7240.509,1130.5,16795.7
ihme,2020-03-31,Alabama,USA_523,2020-05-11,7266.342,1130.5,16864.75
ihme,2020-03-31,Alabama,USA_523,2020-05-12,7285.771,1130.5,16915.825
ihme,2020-03-31,Alabama,USA_523,2020-05-13,7300.144,1130.5,16953.875
ihme,2020-03-31,Alabama,USA_523,2020-05-14,7310.628,1130.5,16980.925
ihme,2020-03-31,Alabama,USA_523,2020-05-15,7318.15,1130.5,16999.975
ihme,2020-03-31,Alabama,USA_523,2020-05-16,7323.465,1130.5,17013.975
ihme,2020-03-31,Alabama,USA_523,2020-05-17,7327.152,1130.5,17023
ihme,2020-03-31,Alabama,USA_523,2020-05-18,7329.68,1130.5,17029.025
ihme,2020-03-31,Alabama,USA_523,2020-05-19,7331.378,1130.5,17033.05
ihme,2020-03-31,Alabama,USA_523,2020-05-20,7332.516,1130.5,17036.05
ihme,2020-03-31,Alabama,USA_523,2020-05-21,7333.235,1130.5,17038.05
ihme,2020-03-31,Alabama,USA_523,2020-05-22,7333.744,1130.5,17039.05
ihme,2020-03-31,Alabama,USA_523,2020-05-23,7334.139,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-24,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-25,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-26,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-27,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-28,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-29,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-30,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-05-31,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-01,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-02,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-03,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-04,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-05,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-06,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-07,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-08,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-09,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-10,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-11,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-12,7334.198,1130.5,17040.05
ihme,2020-03-31,Alabama,USA_523,2020-06-13,7334.198,1130.5,17040.05
