model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper,daily,daily_lower,daily_upper
ihme,2021-05-14,Afghanistan,AFG,2021-05-14,8958.74142678361,8931.98441383121,8991.99981028932,35.505611802066,27.2114649529363,45.9094055191742
ihme,2021-05-14,Afghanistan,AFG,2021-05-15,8995.67386607015,8958.25586574344,9041.58498927867,36.9324392865136,27.152548362918,50.4963443342842
ihme,2021-05-14,Afghanistan,AFG,2021-05-16,9034.04438492948,8984.27745047587,9098.12217511926,38.3705188593279,26.6920944370002,54.1097533292144
ihme,2021-05-14,Afghanistan,AFG,2021-05-17,9073.84454576793,9012.80474387211,9153.22891534786,39.8001608384561,26.5969156970497,57.5321075223467
ihme,2021-05-14,Afghanistan,AFG,2021-05-18,9114.69137687367,9041.02702033904,9212.86304835179,40.846831105742,26.9702647376414,59.7990211250765
ihme,2021-05-14,Afghanistan,AFG,2021-05-19,9157.27736803027,9065.08350711921,9279.39540853341,42.5859911565987,27.1503809907342,64.117617582926
ihme,2021-05-14,Afghanistan,AFG,2021-05-20,9201.6104231991,9094.49077750172,9349.86726145279,44.3330551688257,27.3917199218474,68.719699681924
ihme,2021-05-14,Afghanistan,AFG,2021-05-21,9247.75645624803,9123.06432255183,9421.53229288744,46.1460330489488,27.8140912653035,73.1837253591358
ihme,2021-05-14,Afghanistan,AFG,2021-05-22,9295.84844046105,9151.14896176941,9497.16078609347,48.0919842130228,28.0305516852088,77.783698401794
ihme,2021-05-14,Afghanistan,AFG,2021-05-23,9346.04384951584,9179.94951760574,9583.0231139062,50.1954090547758,28.2145563946074,82.9361291767375
ihme,2021-05-14,Afghanistan,AFG,2021-05-24,9398.56889628494,9209.23827585719,9666.98024936573,52.5250467691103,28.6779536649023,89.1155626932095
ihme,2021-05-14,Afghanistan,AFG,2021-05-25,9453.63556268708,9239.32257371154,9759.15572795242,55.0666664021324,29.3265183554578,95.2888104077955
ihme,2021-05-14,Afghanistan,AFG,2021-05-26,9511.38870340635,9269.86981961274,9854.09574913555,57.7531407192769,30.1591636454248,101.523185989164
ihme,2021-05-14,Afghanistan,AFG,2021-05-27,9571.95336094647,9300.57153695804,9956.40326575425,60.5646575401182,30.8982470624814,107.93299195631
ihme,2021-05-14,Afghanistan,AFG,2021-05-28,9635.49057637771,9333.40864095657,10073.0297414266,63.5372154312101,31.7132851868762,114.577342433733
ihme,2021-05-14,Afghanistan,AFG,2021-05-29,9702.19376866072,9366.62435021231,10192.8578088929,66.7031922830405,32.6894838989465,121.501678606002
ihme,2021-05-14,Afghanistan,AFG,2021-05-30,9772.19558944157,9400.36119137211,10320.8775332922,70.0018207808636,33.7653864219545,129.607584174726
ihme,2021-05-14,Afghanistan,AFG,2021-05-31,9845.63909130542,9435.2177954196,10456.7139859758,73.4435018638215,34.9021433646793,139.061133100121
ihme,2021-05-14,Afghanistan,AFG,2021-06-01,9918.41870913827,9469.0829060716,10593.4903424991,72.7796178328445,33.9310846436191,139.539946306311
ihme,2021-05-14,Afghanistan,AFG,2021-06-02,9989.86393891845,9501.80323302444,10729.8823929525,71.4452297801893,32.7340382141353,138.127810464801
ihme,2021-05-14,Afghanistan,AFG,2021-06-03,10063.5973867708,9538.26685155971,10871.0796466759,73.7334478523037,33.5639074789468,143.251823513011
ihme,2021-05-14,Afghanistan,AFG,2021-06-04,10139.3720907462,9575.46658670376,11016.469459911,75.7747039754617,34.171069197591,148.690809557751
ihme,2021-05-14,Afghanistan,AFG,2021-06-05,10217.0540368317,9611.64723068701,11165.6444204726,77.6819460855345,34.6464363862476,154.105888361176
ihme,2021-05-14,Afghanistan,AFG,2021-06-06,10296.546249389,9644.17859789902,11318.2558892232,79.492212557279,35.1089977424054,159.31811068368
ihme,2021-05-14,Afghanistan,AFG,2021-06-07,10377.8521206657,9677.11961692437,11482.5423129681,81.3058712766712,35.4411849659693,164.570993824499
ihme,2021-05-14,Afghanistan,AFG,2021-06-08,10461.0089930824,9710.56605773156,11660.5453091728,83.1568724166855,35.9236829496237,169.103917848065
ihme,2021-05-14,Afghanistan,AFG,2021-06-09,10545.9441194073,9745.03664391162,11825.4234669989,84.9351263248813,36.581742985137,173.838086937006
ihme,2021-05-14,Afghanistan,AFG,2021-06-10,10632.5755321837,9782.06148021699,12000.4292656488,86.6314127764484,37.2487931729896,178.292781186765
ihme,2021-05-14,Afghanistan,AFG,2021-06-11,10720.8788569632,9821.00747915238,12185.8768056488,88.3033247794617,37.9212053390696,182.56837952334
ihme,2021-05-14,Afghanistan,AFG,2021-06-12,10810.8294422378,9862.54026817761,12375.7225725081,89.9505852746006,38.6843709517148,186.649726234368
ihme,2021-05-14,Afghanistan,AFG,2021-06-13,10902.3943036852,9905.09653513069,12570.2774493249,91.5648614474012,39.4619885432725,190.504478976258
ihme,2021-05-14,Afghanistan,AFG,2021-06-14,10995.6096479372,9948.76015100109,12761.5933170547,93.2153442520798,40.4063880228257,194.263981774941
ihme,2021-05-14,Afghanistan,AFG,2021-06-15,11090.5167616326,9993.62048724697,12973.0130301425,94.9071136953591,41.3971276229819,197.190450560025
ihme,2021-05-14,Afghanistan,AFG,2021-06-16,11187.028530962,10035.2743336463,13148.2280643282,96.5117693293479,42.0767347072727,197.150006287348
ihme,2021-05-14,Afghanistan,AFG,2021-06-17,11285.0500260806,10074.2687233212,13339.3654025378,98.0214951185959,42.876422284976,196.791147452296
ihme,2021-05-14,Afghanistan,AFG,2021-06-18,11384.5494706158,10113.6852106797,13545.7262323703,99.4994445352447,43.8645394277283,202.276433063154
ihme,2021-05-14,Afghanistan,AFG,2021-06-19,11485.4910438036,10153.5395770734,13754.3646951481,100.941573187786,44.9011241669839,207.713939721156
ihme,2021-05-14,Afghanistan,AFG,2021-06-20,11587.8362452852,10199.4225089002,13964.9727594219,102.345201481638,45.8390482707242,207.798535382611
ihme,2021-05-14,Afghanistan,AFG,2021-06-21,11691.6182904429,10250.7163408917,14174.6086569086,103.782045157667,46.9899413699601,212.81308839901
ihme,2021-05-14,Afghanistan,AFG,2021-06-22,11796.8839903395,10303.473851858,14392.1571069889,105.265699896601,48.0866257778384,214.524483273207
ihme,2021-05-14,Afghanistan,AFG,2021-06-23,11903.5427144532,10352.0599421078,14608.0037467043,106.658724113657,49.1166646796354,213.834482752455
ihme,2021-05-14,Afghanistan,AFG,2021-06-24,12011.4948914467,10401.5941229321,14824.671652556,107.952176993531,49.7839452793398,214.167866608657
ihme,2021-05-14,Afghanistan,AFG,2021-06-25,12120.7085543733,10452.3597791408,15041.8510417133,109.213662926612,50.8387263833558,216.769512282683
ihme,2021-05-14,Afghanistan,AFG,2021-06-26,12231.1489459614,10504.4145506443,15259.227102716,110.440391588101,52.1103142478904,217.282396761606
ihme,2021-05-14,Afghanistan,AFG,2021-06-27,12342.7798469551,10557.8172159362,15476.4844247456,111.630900993671,53.3483527864027,216.669599479364
ihme,2021-05-14,Afghanistan,AFG,2021-06-28,12455.6392508022,10612.6646246008,15693.4534987715,112.859403847113,54.7879385260089,219.349718071806
ihme,2021-05-14,Afghanistan,AFG,2021-06-29,12569.8024124701,10668.9116989776,15910.4968487817,114.163161667959,56.1690629742918,218.254952242201
ihme,2021-05-14,Afghanistan,AFG,2021-06-30,12685.2039899096,10727.5807967813,16127.7506252285,115.401577439453,56.5840243431378,220.50628898275
ihme,2021-05-14,Afghanistan,AFG,2021-07-01,12801.7465554378,10797.4447760591,16333.1639580281,116.542565528216,57.4562800874992,222.494982351947
ihme,2021-05-14,Afghanistan,AFG,2021-07-02,12919.400229153,10852.2566997721,16491.0704093143,117.653673715156,58.6899176154078,224.070817855471
ihme,2021-05-14,Afghanistan,AFG,2021-07-03,13038.13199676,10908.4032209744,16691.2141298711,118.731767607049,59.0064265158861,226.34295032684
ihme,2021-05-14,Afghanistan,AFG,2021-07-04,13157.9065482671,10973.6910261215,16976.4988997803,119.774551507052,59.9820664040622,225.07263064127
ihme,2021-05-14,Afghanistan,AFG,2021-07-05,13278.7606745084,11046.4700300693,17208.9666650061,120.854126241357,60.8667301277078,229.776723275437
ihme,2021-05-14,Afghanistan,AFG,2021-07-06,13400.7448974359,11118.9989069607,17455.0560806897,121.984222927534,61.4514848191803,231.494707833221
ihme,2021-05-14,Afghanistan,AFG,2021-07-07,13523.7737498265,11189.843988408,17735.4424708351,123.028852390555,62.3256779792712,230.721352261326
ihme,2021-05-14,Afghanistan,AFG,2021-07-08,13647.3310454949,11249.885008231,17959.4972437993,123.557295668331,62.9996734719686,234.628229005728
ihme,2021-05-14,Afghanistan,AFG,2021-07-09,13771.380364297,11313.3783572596,18166.6656439367,124.049318802207,63.0718808411384,232.055325432963
ihme,2021-05-14,Afghanistan,AFG,2021-07-10,13895.882024155,11385.1386976954,18341.8483863827,124.501659857971,63.2215306743488,231.298931349503
ihme,2021-05-14,Afghanistan,AFG,2021-07-11,14020.7941962167,11457.849065751,18514.5375950854,124.912172061702,63.2019172335845,233.086987772196
ihme,2021-05-14,Afghanistan,AFG,2021-07-12,14146.1430538059,11527.725369726,18698.7038176442,125.348857589245,63.3870179430319,235.19560631399
ihme,2021-05-14,Afghanistan,AFG,2021-07-13,14271.9682268072,11601.5016051122,18937.9744945072,125.825173001236,64.270892383139,237.259052098081
ihme,2021-05-14,Afghanistan,AFG,2021-07-14,14398.1834554184,11676.1354217404,19149.9725303738,126.215228611164,64.378080757621,239.144474246899
ihme,2021-05-14,Afghanistan,AFG,2021-07-15,14524.6932110407,11744.3457095527,19411.7329839403,126.50975562237,64.6488034138078,239.56756884129
ihme,2021-05-14,Afghanistan,AFG,2021-07-16,14651.461451631,11812.4613344838,19556.4580624307,126.768240590264,64.9016370350599,238.779186045265
ihme,2021-05-14,Afghanistan,AFG,2021-07-17,14778.4493135362,11889.5078944587,19811.6637978581,126.987861905253,64.721006235479,239.034780103757
ihme,2021-05-14,Afghanistan,AFG,2021-07-18,14905.6161165135,11967.3846609625,20066.0090669135,127.166802977207,64.8521504562194,237.208834159578
ihme,2021-05-14,Afghanistan,AFG,2021-07-19,15032.9825089795,12036.7085994979,20319.0437156859,127.366392466013,65.3083879039935,237.142626844758
ihme,2021-05-14,Afghanistan,AFG,2021-07-20,15160.5825678508,12101.8186843898,20535.9586692284,127.600058871319,65.1997716464813,236.813918694332
ihme,2021-05-14,Afghanistan,AFG,2021-07-21,15288.3387551013,12167.2374181752,20758.5586421815,127.756187250519,65.9594559627954,235.134009156262
ihme,2021-05-14,Afghanistan,AFG,2021-07-22,15416.1641590857,12252.6863588109,20967.606552848,127.825403984371,66.17209923385,236.588339500254
ihme,2021-05-14,Afghanistan,AFG,2021-07-23,15544.0240560105,12324.6772162274,21163.3416071046,127.859896924867,66.1173268031598,238.756675910676
ihme,2021-05-14,Afghanistan,AFG,2021-07-24,15671.8814094733,12411.4475023482,21367.1935587588,127.857353462765,66.0471199721868,239.106899572711
ihme,2021-05-14,Afghanistan,AFG,2021-07-25,15799.7445660681,12500.5493397984,21579.5178954937,127.863156594801,66.1531015306143,241.120906288929
ihme,2021-05-14,Afghanistan,AFG,2021-07-26,15927.5129860648,12591.3139145579,21822.4447184561,127.768419996721,66.1216217045928,243.223639980199
ihme,2021-05-14,Afghanistan,AFG,2021-07-27,16055.1816045602,12656.7775225108,22065.2290492276,127.668618495366,66.2845673463559,241.605472926392
ihme,2021-05-14,Afghanistan,AFG,2021-07-28,16182.6783159463,12720.6000303184,22306.7023722659,127.496711386104,65.5435207247221,239.866713061157
ihme,2021-05-14,Afghanistan,AFG,2021-07-29,16309.9211863236,12804.8599280925,22547.6619669095,127.242870377314,64.9116310513773,241.407613061441
ihme,2021-05-14,Afghanistan,AFG,2021-07-30,16436.8714248824,12891.6978219164,22715.1714027839,126.950238558794,64.4011520590364,242.256332964478
ihme,2021-05-14,Afghanistan,AFG,2021-07-31,16563.4888855451,12963.415848097,22894.9577606464,126.617460662656,64.4659208436073,241.757647959584
ihme,2021-05-14,Afghanistan,AFG,2021-08-01,16689.7322933549,13024.4776823245,23065.823680184,126.243407809825,64.2314334095964,241.393995435187
ihme,2021-05-14,Afghanistan,AFG,2021-08-02,16815.6030805354,13123.1260748861,23368.6059045118,125.870787180543,63.9400501166312,241.553353787284
ihme,2021-05-14,Afghanistan,AFG,2021-08-03,16941.1154525755,13196.3251968256,23671.0076301207,125.51237204004,63.6708001667097,241.694144306743
ihme,2021-05-14,Afghanistan,AFG,2021-08-04,17066.2094018399,13243.8080640162,23892.0056525359,125.093949264431,63.3860397151007,241.659938239347
ihme,2021-05-14,Afghanistan,AFG,2021-08-05,17190.8155061324,13291.0912799874,24092.799423982,124.606104292494,63.0892016955466,241.272283105384
ihme,2021-05-14,Afghanistan,AFG,2021-08-06,17314.897585224,13360.2003535313,24290.3182586336,124.0820790916,62.8020931154702,239.969006999886
ihme,2021-05-14,Afghanistan,AFG,2021-08-07,17438.4183914108,13441.0494493699,24484.8920135882,123.520806186834,63.1052664647404,238.208473628772
ihme,2021-05-14,Afghanistan,AFG,2021-08-08,17561.3346455,13523.9160061344,24831.7209182926,122.916254089181,62.3454950492159,237.218598831823
ihme,2021-05-14,Afghanistan,AFG,2021-08-09,17683.6928402239,13592.5195835924,25171.179344898,122.358194723882,61.9688400723166,236.486528342037
ihme,2021-05-14,Afghanistan,AFG,2021-08-10,17805.5141683416,13646.2040618747,25369.3438609594,121.821328117668,62.0634709982517,236.984364894221
ihme,2021-05-14,Afghanistan,AFG,2021-08-11,17926.7546588348,13705.6644099377,25562.6306012703,121.240490493263,61.5247870980263,236.210818990947
ihme,2021-05-14,Afghanistan,AFG,2021-08-12,18047.361059911,13777.4513359303,25740.3416387248,120.606401076159,61.1716322606251,235.439138088024
ihme,2021-05-14,Afghanistan,AFG,2021-08-13,18167.3025771792,13859.0768215025,25907.258247688,119.9415172682,60.4955498034161,234.883192002949
ihme,2021-05-14,Afghanistan,AFG,2021-08-14,18286.5297319803,13940.6651905853,26032.0499440942,119.227154801133,59.8048952303365,235.463658979431
ihme,2021-05-14,Afghanistan,AFG,2021-08-15,18405.0827886004,14022.7343433934,26154.0806931597,118.553056620103,59.2960630348816,234.397215716677
ihme,2021-05-14,Afghanistan,AFG,2021-08-16,18523.0186380612,14087.8580443808,26273.4671179201,117.935849460774,59.088856456566,233.284705561398
ihme,2021-05-14,Afghanistan,AFG,2021-08-17,18640.3525635986,14186.1976478629,26390.2838561167,117.333925537416,58.4177318348482,230.5190442543
ihme,2021-05-14,Afghanistan,AFG,2021-08-18,18757.0577400361,14270.3459244344,26504.563170926,116.705176437455,57.842397352331,229.197075971336
ihme,2021-05-14,Afghanistan,AFG,2021-08-19,18873.0977347997,14352.07901097,26732.6717666136,116.039994763652,57.4155347164169,226.027386057667
ihme,2021-05-14,Afghanistan,AFG,2021-08-20,18988.4476539738,14434.5775367544,26964.0818449412,115.349919174104,56.857227107659,224.632754593499
ihme,2021-05-14,Afghanistan,AFG,2021-08-21,19103.0825332347,14525.8539845917,27193.0491221102,114.634879260881,56.1409050387065,223.166857937567
ihme,2021-05-14,Afghanistan,AFG,2021-08-22,19216.9742891944,14598.1186439278,27364.6188782183,113.891755959655,55.1382816741054,220.808405027757
ihme,2021-05-14,Afghanistan,AFG,2021-08-23,19330.1387720759,14677.4559230379,27481.7956202629,113.164482881565,54.6904335551659,219.607545822834
ihme,2021-05-14,Afghanistan,AFG,2021-08-24,19442.5812778072,14735.1053733812,27595.7879914094,112.442505731298,53.9591206276129,218.35370160681
ihme,2021-05-14,Afghanistan,AFG,2021-08-25,19554.2911055178,14792.8068550502,27706.7883301977,111.709827710603,53.2423412243448,217.300702242086
ihme,2021-05-14,Afghanistan,AFG,2021-08-26,19665.2477729154,14850.5714325924,27891.5557690233,110.95666739761,52.4662215688219,216.115865211732
