model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper,daily,daily_lower,daily_upper
imperial,2020-05-01,Afghanistan,AFG,2020-05-01,67,26,197.925,3,1,6
imperial,2020-05-01,Afghanistan,AFG,2020-05-02,69,26,203.925,2,0,6
imperial,2020-05-01,Afghanistan,AFG,2020-05-03,70,26,210.45,1,0,6.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-04,72,26,216.45,2,0,6
imperial,2020-05-01,Afghanistan,AFG,2020-05-05,74,26,221.45,2,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-06,76,26,227.975,2,0,6.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-07,78,26,232.975,2,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-08,79,26,237.5,1,0,4.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-09,81,26,242.5,2,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-10,83,26,248.025,2,0,5.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-11,85,26,253.55,2,0,5.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-12,87,26,258.55,2,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-13,88,26,263.55,1,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-14,89,26,269.55,1,0,6
imperial,2020-05-01,Afghanistan,AFG,2020-05-15,90,26,273.55,1,0,4
imperial,2020-05-01,Afghanistan,AFG,2020-05-16,91,26,278.55,1,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-17,92,26,282.55,1,0,4
imperial,2020-05-01,Afghanistan,AFG,2020-05-18,93,26,287.55,1,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-19,94,26,292.075,1,0,4.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-20,95,26,297.075,1,0,5
imperial,2020-05-01,Afghanistan,AFG,2020-05-21,96,26,301.6,1,0,4.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-22,97,26,305.125,1,0,3.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-23,98,26,309.65,1,0,4.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-24,99,26,313.65,1,0,4
imperial,2020-05-01,Afghanistan,AFG,2020-05-25,100,26,317.65,1,0,4
imperial,2020-05-01,Afghanistan,AFG,2020-05-26,101,26,322.175,1,0,4.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-27,102,26,328.175,1,0,6
imperial,2020-05-01,Afghanistan,AFG,2020-05-28,103,26,332.7,1,0,4.52499999999999
imperial,2020-05-01,Afghanistan,AFG,2020-05-29,104,26,335.7,1,0,3
imperial,2020-05-01,Albania,ALB,2020-05-01,27,22,137.25,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-02,27,22,139.25,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-03,27,22,141.775,0,0,2.52499999999999
imperial,2020-05-01,Albania,ALB,2020-05-04,27,22,143.775,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-05,27,22,146.3,0,0,2.52499999999999
imperial,2020-05-01,Albania,ALB,2020-05-06,27,22,148.3,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-07,27,22,151.3,0,0,3
imperial,2020-05-01,Albania,ALB,2020-05-08,27,22,153.3,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-09,27,22,155.3,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-10,27,22,157.825,0,0,2.52499999999999
imperial,2020-05-01,Albania,ALB,2020-05-11,27,22,160.35,0,0,2.52499999999999
imperial,2020-05-01,Albania,ALB,2020-05-12,27,22,162.875,0,0,2.52499999999999
imperial,2020-05-01,Albania,ALB,2020-05-13,27,22,165.875,0,0,3
imperial,2020-05-01,Albania,ALB,2020-05-14,27,22,167.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-15,27,22,169.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-16,27,22,172.875,0,0,3
imperial,2020-05-01,Albania,ALB,2020-05-17,27,22,174.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-18,27,22,176.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-19,27,22,178.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-20,27,22,180.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-21,27,22,182.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-22,27,22,184.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-23,27,22,186.875,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-24,27,22,188.4,0,0,1.52499999999999
imperial,2020-05-01,Albania,ALB,2020-05-25,27,22,190.4,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-26,27,22,191.4,0,0,1
imperial,2020-05-01,Albania,ALB,2020-05-27,27,22,193.4,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-28,27,22,195.4,0,0,2
imperial,2020-05-01,Albania,ALB,2020-05-29,27,22,197.4,0,0,2
imperial,2020-05-01,Algeria,DZA,2020-05-01,459.5,232.7,824.9,7,3,12.525
imperial,2020-05-01,Algeria,DZA,2020-05-02,466.5,234.7,837.9,7,2,13
imperial,2020-05-01,Algeria,DZA,2020-05-03,472.5,236.7,850.9,6,2,13
imperial,2020-05-01,Algeria,DZA,2020-05-04,478.5,237.7,862.9,6,1,12
imperial,2020-05-01,Algeria,DZA,2020-05-05,483.5,238.7,875.9,5,1,13
imperial,2020-05-01,Algeria,DZA,2020-05-06,488.5,239.7,888.475,5,1,12.575
imperial,2020-05-01,Algeria,DZA,2020-05-07,493.5,240.7,898.475,5,1,10
imperial,2020-05-01,Algeria,DZA,2020-05-08,498.5,241.7,909.525,5,1,11.05
imperial,2020-05-01,Algeria,DZA,2020-05-09,502.5,242.7,920.525,4,1,11
imperial,2020-05-01,Algeria,DZA,2020-05-10,506.5,242.7,932.05,4,0,11.525
imperial,2020-05-01,Algeria,DZA,2020-05-11,510.5,242.7,942.575,4,0,10.525
imperial,2020-05-01,Algeria,DZA,2020-05-12,513.5,242.7,952.1,3,0,9.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-13,516.5,243.175,961.625,3,0.475,9.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-14,519.5,243.175,971.15,3,0,9.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-15,522.5,243.175,979.675,3,0,8.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-16,526.5,243.175,989.2,4,0,9.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-17,529.5,243.175,997.25,3,0,8.04999999999998
imperial,2020-05-01,Algeria,DZA,2020-05-18,532.5,243.175,1004.775,3,0,7.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-19,535.5,243.175,1013.775,3,0,9
imperial,2020-05-01,Algeria,DZA,2020-05-20,537.5,243.175,1020.775,2,0,7
imperial,2020-05-01,Algeria,DZA,2020-05-21,539.5,243.175,1027.775,2,0,7
imperial,2020-05-01,Algeria,DZA,2020-05-22,541.5,243.175,1035.3,2,0,7.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-23,543.5,243.175,1041.825,2,0,6.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-24,545.5,243.175,1049.825,2,0,8
imperial,2020-05-01,Algeria,DZA,2020-05-25,547.5,243.175,1056.825,2,0,7
imperial,2020-05-01,Algeria,DZA,2020-05-26,549.5,243.175,1063.35,2,0,6.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-27,551.5,243.175,1069.875,2,0,6.52499999999999
imperial,2020-05-01,Algeria,DZA,2020-05-28,553.5,243.175,1076.925,2,0,7.04999999999998
imperial,2020-05-01,Algeria,DZA,2020-05-29,555.5,243.175,1082.925,2,0,6
imperial,2020-05-01,Angola,AGO,2020-05-01,1,0,16.1,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-02,1,0,16.625,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-03,1,0,16.625,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-04,1,0,17.625,0,0,1
imperial,2020-05-01,Angola,AGO,2020-05-05,1,0,18.625,0,0,1
imperial,2020-05-01,Angola,AGO,2020-05-06,1,0,19.1499999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-07,1,0,19.1499999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-08,1,0,19.6749999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-09,1,0,19.6749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-10,1,0,20.6749999999999,0,0,1
imperial,2020-05-01,Angola,AGO,2020-05-11,1,0,21.6749999999999,0,0,1
imperial,2020-05-01,Angola,AGO,2020-05-12,1,0,21.6749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-13,1,0,22.1999999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-14,1,0,22.1999999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-15,1,0,22.1999999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-16,1,0,22.1999999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-17,1,0,22.7249999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-18,1,0,23.7249999999999,0,0,1
imperial,2020-05-01,Angola,AGO,2020-05-19,1,0,23.7249999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-20,1,0,23.7249999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-21,1,0,24.2499999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-22,1,0,24.7749999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-23,1,0,24.7749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-24,1,0,24.7749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-25,1,0,24.7749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-26,1,0,24.7749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-27,1,0,24.7749999999999,0,0,0
imperial,2020-05-01,Angola,AGO,2020-05-28,1,0,25.2999999999999,0,0,0.524999999999991
imperial,2020-05-01,Angola,AGO,2020-05-29,1,0,25.2999999999999,0,0,0
imperial,2020-05-01,Argentina,ARG,2020-05-01,241.5,90.85,607.725,5,2,22.525
imperial,2020-05-01,Argentina,ARG,2020-05-02,249,92.85,631.775,7.5,2,24.05
imperial,2020-05-01,Argentina,ARG,2020-05-03,255.5,93.85,649.825,6.5,1,18.05
imperial,2020-05-01,Argentina,ARG,2020-05-04,262.5,94.85,670.875,7,1,21.05
imperial,2020-05-01,Argentina,ARG,2020-05-05,269.5,95.85,694.925,7,1,24.05
imperial,2020-05-01,Argentina,ARG,2020-05-06,276.5,97.85,716.975,7,2,22.05
imperial,2020-05-01,Argentina,ARG,2020-05-07,283.5,99.85,736.55,7,2,19.575
imperial,2020-05-01,Argentina,ARG,2020-05-08,290.5,100.85,763.075,7,1,26.525
imperial,2020-05-01,Argentina,ARG,2020-05-09,297.5,102.325,790.125,7,1.475,27.05
imperial,2020-05-01,Argentina,ARG,2020-05-10,304.5,103.325,816.275,7,1,26.1499999999999
imperial,2020-05-01,Argentina,ARG,2020-05-11,311.5,104.325,838.275,7,1,22
imperial,2020-05-01,Argentina,ARG,2020-05-12,318.5,104.8,865.375,7,0.475,27.1
imperial,2020-05-01,Argentina,ARG,2020-05-13,326.5,105.8,886.375,8,1,21
imperial,2020-05-01,Argentina,ARG,2020-05-14,333.5,106.275,912.425,7,0.475,26.05
imperial,2020-05-01,Argentina,ARG,2020-05-15,340.5,106.275,935.95,7,0,23.525
imperial,2020-05-01,Argentina,ARG,2020-05-16,346.5,107.275,962.625,6,1,26.6749999999999
imperial,2020-05-01,Argentina,ARG,2020-05-17,353.5,108.275,994.35,7,1,31.7249999999999
imperial,2020-05-01,Argentina,ARG,2020-05-18,360.5,108.275,1021.35,7,0,27
imperial,2020-05-01,Argentina,ARG,2020-05-19,367.5,109.275,1046.875,7,1,25.525
