model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper
imperial,2020-05-10,Afghanistan,AFG,2020-05-10,147.55,42.95,328.4
imperial,2020-05-10,Afghanistan,AFG,2020-05-11,151.82,43.425,338.4
imperial,2020-05-10,Afghanistan,AFG,2020-05-12,155.97,44.425,349.925
imperial,2020-05-10,Afghanistan,AFG,2020-05-13,160.04,44.425,361.975
imperial,2020-05-10,Afghanistan,AFG,2020-05-14,164.36,44.425,372.975
imperial,2020-05-10,Afghanistan,AFG,2020-05-15,168.21,45.425,381.975
imperial,2020-05-10,Afghanistan,AFG,2020-05-16,172.38,45.425,393.025
imperial,2020-05-10,Afghanistan,AFG,2020-05-17,176.16,45.425,402.025
imperial,2020-05-10,Afghanistan,AFG,2020-05-18,180.01,45.425,413.075
imperial,2020-05-10,Afghanistan,AFG,2020-05-19,183.93,45.425,423.6
imperial,2020-05-10,Afghanistan,AFG,2020-05-20,188.08,45.425,435.6
imperial,2020-05-10,Afghanistan,AFG,2020-05-21,191.99,45.425,447.6
imperial,2020-05-10,Afghanistan,AFG,2020-05-22,196.1,45.425,458.125
imperial,2020-05-10,Afghanistan,AFG,2020-05-23,200.15,45.425,470.175
imperial,2020-05-10,Afghanistan,AFG,2020-05-24,203.96,45.425,479.7
imperial,2020-05-10,Afghanistan,AFG,2020-05-25,208,45.425,490.225
imperial,2020-05-10,Afghanistan,AFG,2020-05-26,212.07,45.9,500.225
imperial,2020-05-10,Afghanistan,AFG,2020-05-27,216.18,45.9,512.75
imperial,2020-05-10,Afghanistan,AFG,2020-05-28,220.02,45.9,523.275
imperial,2020-05-10,Afghanistan,AFG,2020-05-29,224.29,45.9,534.8
imperial,2020-05-10,Afghanistan,AFG,2020-05-30,228.23,45.9,547.85
imperial,2020-05-10,Afghanistan,AFG,2020-05-31,232.36,45.9,558.85
imperial,2020-05-10,Afghanistan,AFG,2020-06-01,236.35,45.9,570.375
imperial,2020-05-10,Afghanistan,AFG,2020-06-02,240.66,45.9,584.9
