location_name,date,deaths,lower,upper,model_date,model
Afghanistan,2020-02-26,0,0,0,2020-05-20,imperial
Afghanistan,2020-02-27,0,0,0,2020-05-20,imperial
Afghanistan,2020-02-28,0,0,0,2020-05-20,imperial
Afghanistan,2020-02-29,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-01,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-02,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-03,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-04,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-05,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-06,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-07,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-08,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-09,0.01,0,0,2020-05-20,imperial
Afghanistan,2020-03-10,0.01,0,0,2020-05-20,imperial
Afghanistan,2020-03-11,0,0,0,2020-05-20,imperial
Afghanistan,2020-03-12,0.01,0,0,2020-05-20,imperial
Afghanistan,2020-03-13,0.02,0,0,2020-05-20,imperial
Afghanistan,2020-03-14,0.01,0,0,2020-05-20,imperial
Afghanistan,2020-03-15,0.02,0,0,2020-05-20,imperial
Afghanistan,2020-03-16,0.02,0,0,2020-05-20,imperial
Afghanistan,2020-03-17,0.04,0,1,2020-05-20,imperial
Afghanistan,2020-03-18,0.06,0,1,2020-05-20,imperial
Afghanistan,2020-03-19,0.03,0,0.524999999999991,2020-05-20,imperial
Afghanistan,2020-03-20,0.04,0,1,2020-05-20,imperial
Afghanistan,2020-03-21,0.13,0,1,2020-05-20,imperial
Afghanistan,2020-03-22,0.17,0,1,2020-05-20,imperial
Afghanistan,2020-03-23,0.14,0,1,2020-05-20,imperial
Afghanistan,2020-03-24,1.06,1,2,2020-05-20,imperial
Afghanistan,2020-03-25,0.18,0,1.52499999999999,2020-05-20,imperial
Afghanistan,2020-03-26,0.19,0,1,2020-05-20,imperial
Afghanistan,2020-03-27,0.34,0,2,2020-05-20,imperial
Afghanistan,2020-03-28,1.29,1,3,2020-05-20,imperial
Afghanistan,2020-03-29,1.39,1,3,2020-05-20,imperial
Afghanistan,2020-03-30,1.53,1,3,2020-05-20,imperial
Afghanistan,2020-03-31,0.94,0,3,2020-05-20,imperial
Afghanistan,2020-04-01,1.12,0,3.52499999999999,2020-05-20,imperial
Afghanistan,2020-04-02,1.12,0,4,2020-05-20,imperial
Afghanistan,2020-04-03,1.23,0,4.52499999999999,2020-05-20,imperial
Afghanistan,2020-04-04,1.39,0,4.52499999999999,2020-05-20,imperial
Afghanistan,2020-04-05,2.52,1,6,2020-05-20,imperial
Afghanistan,2020-04-06,2.7,1,5,2020-05-20,imperial
Afghanistan,2020-04-07,2.02,0,6,2020-05-20,imperial
Afghanistan,2020-04-08,3.63,1,8,2020-05-20,imperial
Afghanistan,2020-04-09,3.56,1,7,2020-05-20,imperial
Afghanistan,2020-04-10,2.83,1,6,2020-05-20,imperial
Afghanistan,2020-04-11,2.46,0,7,2020-05-20,imperial
Afghanistan,2020-04-12,3.36,1,7,2020-05-20,imperial
Afghanistan,2020-04-13,2.24,0,6,2020-05-20,imperial
Afghanistan,2020-04-14,3.92,1.475,8.52499999999999,2020-05-20,imperial
