model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper
lanl,2020-07-19,Afghanistan,AFG,2020-07-19,1181,1181,1181
lanl,2020-07-19,Afghanistan,AFG,2020-07-20,1194.20713366447,1185.603652497,1209.07885404376
lanl,2020-07-19,Afghanistan,AFG,2020-07-21,1207.39637798816,1191.07151581992,1232.43820392398
lanl,2020-07-19,Afghanistan,AFG,2020-07-22,1220.08201402833,1196.82181044552,1255.46850557791
lanl,2020-07-19,Afghanistan,AFG,2020-07-23,1231.89341747511,1201.51072146332,1280.76837364181
lanl,2020-07-19,Afghanistan,AFG,2020-07-24,1243.00957445089,1206.49773186199,1305.7822275293
lanl,2020-07-19,Afghanistan,AFG,2020-07-25,1253.81911263781,1211.16642840356,1329.52645596438
lanl,2020-07-19,Afghanistan,AFG,2020-07-26,1264.37441084562,1215.87507820958,1347.67727674555
lanl,2020-07-19,Afghanistan,AFG,2020-07-27,1275.18266425614,1220.81799676027,1367.13105438521
lanl,2020-07-19,Afghanistan,AFG,2020-07-28,1285.546805538,1224.76639107576,1389.57596259955
lanl,2020-07-19,Afghanistan,AFG,2020-07-29,1294.71065160547,1227.91397607328,1407.39042012015
lanl,2020-07-19,Afghanistan,AFG,2020-07-30,1303.5002443132,1232.46063175376,1431.10101095306
lanl,2020-07-19,Afghanistan,AFG,2020-07-31,1312.076143995,1236.0289759849,1453.64823392177
lanl,2020-07-19,Afghanistan,AFG,2020-08-01,1320.80995253202,1239.08916208729,1474.4617175906
lanl,2020-07-19,Afghanistan,AFG,2020-08-02,1329.28412012666,1241.58883335133,1495.38991556329
lanl,2020-07-19,Afghanistan,AFG,2020-08-03,1337.12931326239,1243.69524336232,1517.85533967722
lanl,2020-07-19,Afghanistan,AFG,2020-08-04,1343.89740821048,1245.93678962267,1537.89008395859
lanl,2020-07-19,Afghanistan,AFG,2020-08-05,1351.00710607372,1248.17417390829,1554.66585325675
