model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper,daily,daily_lower,daily_upper
lanl,2021-03-10,Afghanistan,AFG,2021-03-10,2451,2451,2451,0,0,0
lanl,2021-03-10,Afghanistan,AFG,2021-03-11,2452,2451,2453,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-12,2453,2451,2456,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-03-13,2453,2451,2457,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-14,2453,2451,2458,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-15,2454,2451,2459,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-16,2454,2451,2460,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-17,2454,2451,2461,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-18,2455,2451,2463,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-19,2456,2451,2466,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-03-20,2456,2451,2467,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-21,2456,2451,2467.025,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-22,2457,2451,2469,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-23,2457,2451,2471,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-24,2457,2451,2472,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-25,2458,2451,2473,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-26,2459,2451,2476,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-03-27,2459,2451,2477.025,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-28,2459,2451,2479,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-03-29,2460,2451,2480,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-30,2460,2451,2482,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-03-31,2460,2451,2483,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-04-01,2461,2451,2485,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-02,2462,2451,2488,1,0,4
lanl,2021-03-10,Afghanistan,AFG,2021-04-03,2462,2451,2489.025,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-04-04,2462,2451,2490,0,0,1
lanl,2021-03-10,Afghanistan,AFG,2021-04-05,2463,2451,2492.025,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-06,2463,2451,2494.025,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-07,2463,2451,2495,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-08,2464,2451,2498,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-09,2465,2451,2501,1,0,4
lanl,2021-03-10,Afghanistan,AFG,2021-04-10,2465,2451,2502,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-11,2465,2451,2503,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-12,2466,2451,2505,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-13,2467,2451,2507,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-14,2467,2451,2508,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-15,2467,2451,2510,1,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-16,2469,2451,2513,1,0,4
lanl,2021-03-10,Afghanistan,AFG,2021-04-17,2469,2451,2515,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-18,2469,2451,2517,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-19,2469,2451,2519,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-04-20,2470,2451,2521,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-04-21,2470,2451,2522,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-22,2471,2451,2524.025,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-04-23,2472,2451,2528.025,1,0,5
lanl,2021-03-10,Afghanistan,AFG,2021-04-24,2472,2451,2530.025,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-25,2472,2451,2532,0,0,2
lanl,2021-03-10,Afghanistan,AFG,2021-04-26,2473,2451,2534,1,0,3
lanl,2021-03-10,Afghanistan,AFG,2021-04-27,2474,2451,2538,1,0,3
lanl,2021-03-10,Alabama,USA_523,2021-03-10,10222,10222,10222,36,36,36
lanl,2021-03-10,Alabama,USA_523,2021-03-11,10250,10225,10302,28,3,80
lanl,2021-03-10,Alabama,USA_523,2021-03-12,10276,10229.975,10354,25,3,67
lanl,2021-03-10,Alabama,USA_523,2021-03-13,10293,10232,10383,15,3,42
lanl,2021-03-10,Alabama,USA_523,2021-03-14,10300,10234,10400.025,3,1,29
lanl,2021-03-10,Alabama,USA_523,2021-03-15,10304,10235,10422,2,0,27
lanl,2021-03-10,Alabama,USA_523,2021-03-16,10327,10238,10466,20,3,58.0249999999996
lanl,2021-03-10,Alabama,USA_523,2021-03-17,10349,10241,10505,20,3,54
lanl,2021-03-10,Alabama,USA_523,2021-03-18,10369,10243.975,10556,20,3,63
lanl,2021-03-10,Alabama,USA_523,2021-03-19,10388,10246,10595.025,18,2,55
lanl,2021-03-10,Alabama,USA_523,2021-03-20,10401,10249,10624.025,11,2,34
lanl,2021-03-10,Alabama,USA_523,2021-03-21,10406,10250,10643,3,0,24
lanl,2021-03-10,Alabama,USA_523,2021-03-22,10410,10250.975,10660.025,2,0,23
lanl,2021-03-10,Alabama,USA_523,2021-03-23,10426,10252.975,10701.025,15,2,48
lanl,2021-03-10,Alabama,USA_523,2021-03-24,10442,10255,10734.05,15,2,45
lanl,2021-03-10,Alabama,USA_523,2021-03-25,10458,10258,10775,16,2,53
lanl,2021-03-10,Alabama,USA_523,2021-03-26,10473,10259.975,10808.05,14,2,46
lanl,2021-03-10,Alabama,USA_523,2021-03-27,10482,10260,10835,9,1,29
lanl,2021-03-10,Alabama,USA_523,2021-03-28,10485,10261.975,10852.025,2,0,21
lanl,2021-03-10,Alabama,USA_523,2021-03-29,10489,10262,10869,2,0,20
lanl,2021-03-10,Alabama,USA_523,2021-03-30,10502,10263.975,10901.05,12,1,43
lanl,2021-03-10,Alabama,USA_523,2021-03-31,10515,10265,10934,12,1,41
lanl,2021-03-10,Alabama,USA_523,2021-04-01,10528,10267,10974.05,13,1,47
lanl,2021-03-10,Alabama,USA_523,2021-04-02,10542.5,10268,11006.05,11,1,41
lanl,2021-03-10,Alabama,USA_523,2021-04-03,10549,10270,11025.05,7,1,27
lanl,2021-03-10,Alabama,USA_523,2021-04-04,10553,10271,11042.075,2,0,19
lanl,2021-03-10,Alabama,USA_523,2021-04-05,10556,10271.975,11056.025,2,0,19
lanl,2021-03-10,Alabama,USA_523,2021-04-06,10569,10273,11090.025,10,1,43
lanl,2021-03-10,Alabama,USA_523,2021-04-07,10580,10274.975,11116.1,10,1,41
lanl,2021-03-10,Alabama,USA_523,2021-04-08,10592.5,10276,11153.075,11,1,48.0249999999996
lanl,2021-03-10,Alabama,USA_523,2021-04-09,10603.5,10277.975,11193.05,10,1,43.0249999999996
