model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-06,2450,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-07,2451,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-08,2452,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-09,2453,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-10,2454,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-11,2454,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-12,2455,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-13,2456,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-14,2457,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-15,2458,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-16,2459,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-17,2459,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-18,2460,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-19,2461,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-20,2462,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-21,2462,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-22,2463,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-23,2464,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-24,2465,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-25,2465,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-26,2466,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-27,2467,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-28,2467,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-29,2468,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-30,2469,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-03-31,2470,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-04-01,2470,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-04-02,2471,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-04-03,2472,,
sikjalpha,2021-03-06,Afghanistan,AFG,2021-04-04,2473,,
