model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper
yyg,2020-09-02,Alabama,USA_523,2020-09-02,2217,,
yyg,2020-09-02,Alabama,USA_523,2020-09-03,2233,2227,2242
yyg,2020-09-02,Alabama,USA_523,2020-09-04,2250,2237,2266
yyg,2020-09-02,Alabama,USA_523,2020-09-05,2266,2247,2290
yyg,2020-09-02,Alabama,USA_523,2020-09-06,2282,2257,2314
yyg,2020-09-02,Alabama,USA_523,2020-09-07,2297,2267,2338
yyg,2020-09-02,Alabama,USA_523,2020-09-08,2313,2276,2361
yyg,2020-09-02,Alabama,USA_523,2020-09-09,2328,2285,2385
yyg,2020-09-02,Alabama,USA_523,2020-09-10,2343,2294,2408
yyg,2020-09-02,Alabama,USA_523,2020-09-11,2358,2302,2431
yyg,2020-09-02,Alabama,USA_523,2020-09-12,2372,2311,2454
yyg,2020-09-02,Alabama,USA_523,2020-09-13,2386,2319,2477
yyg,2020-09-02,Alabama,USA_523,2020-09-14,2400,2327,2499
yyg,2020-09-02,Alabama,USA_523,2020-09-15,2414,2334,2522
yyg,2020-09-02,Alabama,USA_523,2020-09-16,2428,2342,2544
yyg,2020-09-02,Alabama,USA_523,2020-09-17,2441,2349,2566
yyg,2020-09-02,Alabama,USA_523,2020-09-18,2454,2356,2587
yyg,2020-09-02,Alabama,USA_523,2020-09-19,2467,2363,2609
yyg,2020-09-02,Alabama,USA_523,2020-09-20,2480,2369,2631
yyg,2020-09-02,Alabama,USA_523,2020-09-21,2492,2376,2652
yyg,2020-09-02,Alabama,USA_523,2020-09-22,2505,2382,2673
yyg,2020-09-02,Alabama,USA_523,2020-09-23,2517,2388,2694
yyg,2020-09-02,Alabama,USA_523,2020-09-24,2529,2394,2715
yyg,2020-09-02,Alabama,USA_523,2020-09-25,2541,2400,2735
yyg,2020-09-02,Alabama,USA_523,2020-09-26,2552,2405,2756
yyg,2020-09-02,Alabama,USA_523,2020-09-27,2563,2411,2776
yyg,2020-09-02,Alabama,USA_523,2020-09-28,2575,2416,2796
yyg,2020-09-02,Alabama,USA_523,2020-09-29,2586,2421,2816
yyg,2020-09-02,Alabama,USA_523,2020-09-30,2597,2426,2836
yyg,2020-09-02,Alabama,USA_523,2020-10-01,2607,2431,2855
yyg,2020-09-02,Alabama,USA_523,2020-10-02,2618,2436,2875
yyg,2020-09-02,Alabama,USA_523,2020-10-03,2628,2440,2894
yyg,2020-09-02,Alabama,USA_523,2020-10-04,2638,2445,2914
yyg,2020-09-02,Alabama,USA_523,2020-10-05,2648,2449,2933
yyg,2020-09-02,Alabama,USA_523,2020-10-06,2658,2453,2952
yyg,2020-09-02,Alabama,USA_523,2020-10-07,2668,2457,2970
yyg,2020-09-02,Alabama,USA_523,2020-10-08,2678,2461,2989
yyg,2020-09-02,Alabama,USA_523,2020-10-09,2687,2465,3008
yyg,2020-09-02,Alabama,USA_523,2020-10-10,2697,2469,3027
